# TWA 27b JWST emission spectrum
# NIRSpec binned from native sampling to R=400; MIRI rows unchanged from twa27b_JWST_em.txt
# NIRSpec errors remain the original convention of 3% assumed errors; errors not retrieved
# MIRI MRS (twa27-b_MIRI_MRS_bin100.txt): errors from data; offset_group MIRI is a free parameter
# Flux converted from Jy to erg/s/cm^2/cm (Flambda)
# lam_um  dlam_um  flux  flux_sigma  response_mode  offset_group
1.855734e+00  2.319667e-03  6.036472e-10  1.810942e-11  boxcar  NIRSpec
1.860379e+00  2.325473e-03  5.678661e-10  1.703598e-11  boxcar  NIRSpec
1.865036e+00  2.331294e-03  5.973173e-10  1.791952e-11  boxcar  NIRSpec
1.869705e+00  2.337130e-03  6.039655e-10  1.811897e-11  boxcar  NIRSpec
1.874385e+00  2.342980e-03  6.423225e-10  1.926968e-11  boxcar  NIRSpec
1.879077e+00  2.348844e-03  6.138462e-10  1.841539e-11  boxcar  NIRSpec
1.883780e+00  2.354724e-03  6.468550e-10  1.940565e-11  boxcar  NIRSpec
1.888495e+00  2.360618e-03  6.482172e-10  1.944652e-11  boxcar  NIRSpec
1.893223e+00  2.366527e-03  6.464419e-10  1.939326e-11  boxcar  NIRSpec
1.897962e+00  2.372451e-03  6.621153e-10  1.986346e-11  boxcar  NIRSpec
1.902712e+00  2.378389e-03  6.615167e-10  1.984550e-11  boxcar  NIRSpec
1.907475e+00  2.384343e-03  6.981469e-10  2.094441e-11  boxcar  NIRSpec
1.912250e+00  2.390311e-03  6.560300e-10  1.968090e-11  boxcar  NIRSpec
1.917036e+00  2.396294e-03  6.895204e-10  2.068561e-11  boxcar  NIRSpec
1.921835e+00  2.402292e-03  6.730164e-10  2.019049e-11  boxcar  NIRSpec
1.926646e+00  2.408306e-03  6.879350e-10  2.063805e-11  boxcar  NIRSpec
1.931468e+00  2.414334e-03  6.670448e-10  2.001134e-11  boxcar  NIRSpec
1.936303e+00  2.420377e-03  6.784951e-10  2.035485e-11  boxcar  NIRSpec
1.941150e+00  2.426436e-03  6.488374e-10  1.946512e-11  boxcar  NIRSpec
1.946009e+00  2.432510e-03  6.813455e-10  2.044036e-11  boxcar  NIRSpec
1.950880e+00  2.438598e-03  6.987317e-10  2.096195e-11  boxcar  NIRSpec
1.955763e+00  2.444703e-03  6.717930e-10  2.015379e-11  boxcar  NIRSpec
1.960659e+00  2.450822e-03  6.891400e-10  2.067420e-11  boxcar  NIRSpec
1.965566e+00  2.456957e-03  6.646568e-10  1.993970e-11  boxcar  NIRSpec
1.970486e+00  2.463107e-03  6.909412e-10  2.072824e-11  boxcar  NIRSpec
1.975419e+00  2.469272e-03  6.631347e-10  1.989404e-11  boxcar  NIRSpec
1.980364e+00  2.475453e-03  6.811885e-10  2.043566e-11  boxcar  NIRSpec
