#p (bar)        	T (K)           	n_<tot> (cm-3)  	n_g (cm-3)      	m (u)           	H2O1            	C1O2            	C1O1            	C1H4            	H3N1            
1.9920457085e-07	1.0000000000e+03	2.6824752281e+12	1.4428328333e+12	2.3261545461e+00	2.9449666668e-04	2.4621506914e-07	4.9479791026e-04	1.6561476675e-15	7.1323514164e-13
2.0431973202e-07	1.0000000000e+03	2.7513557449e+12	1.4798817949e+12	2.3261546337e+00	2.9449822934e-04	2.4621636940e-07	4.9479792753e-04	1.7422836789e-15	7.3154962468e-13
2.0956623995e-07	1.0000000000e+03	2.8220049722e+12	1.5178820971e+12	2.3261547203e+00	2.9449974709e-04	2.4621763222e-07	4.9479794463e-04	1.8328998871e-15	7.5033438682e-13
2.1494746734e-07	1.0000000000e+03	2.8944683270e+12	1.5568581685e+12	2.3261548059e+00	2.9450122051e-04	2.4621885807e-07	4.9479796155e-04	1.9282293314e-15	7.6960150388e-13
2.2046687352e-07	1.0000000000e+03	2.9687923923e+12	1.5968350647e+12	2.3261548906e+00	2.9450265014e-04	2.4622004739e-07	4.9479797830e-04	2.0285171735e-15	7.8936336175e-13
2.2612800663e-07	1.0000000000e+03	3.0450249472e+12	1.6378384849e+12	2.3261549742e+00	2.9450403650e-04	2.4622120063e-07	4.9479799488e-04	2.1340213275e-15	8.0963266435e-13
2.3193450593e-07	1.0000000000e+03	3.1232149980e+12	1.6798947881e+12	2.3261550569e+00	2.9450538012e-04	2.4622231823e-07	4.9479801129e-04	2.2450131237e-15	8.3042244185e-13
2.3789010411e-07	1.0000000000e+03	3.2034128089e+12	1.7230310101e+12	2.3261551386e+00	2.9450668149e-04	2.4622340058e-07	4.9479802753e-04	2.3617780064e-15	8.5174605897e-13
2.4399862973e-07	1.0000000000e+03	3.2856699352e+12	1.7672748811e+12	2.3261552194e+00	2.9450794109e-04	2.4622444810e-07	4.9479804360e-04	2.4846162682e-15	8.7361722363e-13
2.5026400964e-07	1.0000000000e+03	3.3700392559e+12	1.8126548431e+12	2.3261552992e+00	2.9450915939e-04	2.4622546118e-07	4.9479805950e-04	2.6138438222e-15	8.9604999573e-13
2.5669027155e-07	1.0000000000e+03	3.4565750077e+12	1.8592000686e+12	2.3261553780e+00	2.9451033685e-04	2.4622644019e-07	4.9479807524e-04	2.7497930147e-15	9.1905879621e-13
2.6328154656e-07	1.0000000000e+03	3.5453328201e+12	1.9069404792e+12	2.3261554559e+00	2.9451147390e-04	2.4622738549e-07	4.9479809081e-04	2.8928134802e-15	9.4265841630e-13
2.7004207188e-07	1.0000000000e+03	3.6363697510e+12	1.9559067647e+12	2.3261555329e+00	2.9451257098e-04	2.4622829745e-07	4.9479810621e-04	3.0432730404e-15	9.6686402705e-13
2.7697619350e-07	1.0000000000e+03	3.7297443236e+12	2.0061304032e+12	2.3261556090e+00	2.9451362850e-04	2.4622917641e-07	4.9479812146e-04	3.2015586507e-15	9.9169118906e-13
2.8408836902e-07	1.0000000000e+03	3.8255165635e+12	2.0576436807e+12	2.3261556841e+00	2.9451464685e-04	2.4623002269e-07	4.9479813654e-04	3.3680773950e-15	1.0171558625e-12
2.9138317048e-07	1.0000000000e+03	3.9237480381e+12	2.1104797127e+12	2.3261557583e+00	2.9451562643e-04	2.4623083663e-07	4.9479815145e-04	3.5432575334e-15	1.0432744174e-12
2.9886528736e-07	1.0000000000e+03	4.0245018952e+12	2.1646724646e+12	2.3261558315e+00	2.9451656761e-04	2.4623161854e-07	4.9479816621e-04	3.7275496036e-15	1.0700636440e-12
