# wavelength_um  flux
3.0458170620e+00 1.5607357804e-09
3.0580003302e+00 1.5722456649e-09
3.0702323315e+00 1.4388813484e-09
3.0825132608e+00 1.3953965115e-09
3.0948433139e+00 1.2237724291e-09
3.1072226871e+00 1.1783157394e-09
3.1196515779e+00 1.2165858382e-09
3.1321301842e+00 1.0868404211e-09
3.1446587049e+00 8.8946330948e-10
3.1572373398e+00 8.9595008930e-10
3.1698662891e+00 8.1808621069e-10
3.1825457543e+00 7.6496521018e-10
3.1952759373e+00 7.7822118680e-10
3.2080570410e+00 7.2069494661e-10
3.2208892692e+00 7.9911368048e-10
3.2337728263e+00 8.0466921736e-10
3.2467079176e+00 8.5484013230e-10
3.2596947493e+00 9.6449924783e-10
3.2727335283e+00 1.1179016417e-09
3.2858244624e+00 1.2534945136e-09
3.2989677602e+00 1.3328183323e-09
3.3121636313e+00 6.8019796340e-10
3.3254122858e+00 2.8067527766e-10
3.3387139349e+00 4.0929552058e-10
3.3520687907e+00 7.0753361297e-10
3.3654770658e+00 9.8015105715e-10
3.3789389741e+00 1.0852130314e-09
3.3924547300e+00 1.0537089272e-09
3.4060245489e+00 1.0161695571e-09
3.4196486471e+00 1.0069057301e-09
3.4333272417e+00 9.8337827338e-10
3.4470605507e+00 9.5125437785e-10
3.4608487929e+00 9.7236738165e-10
3.4746921880e+00 9.6053003261e-10
3.4885909568e+00 1.0455120062e-09
3.5025453206e+00 1.1210728490e-09
3.5165555019e+00 1.1902188173e-09
3.5306217239e+00 1.1951264887e-09
3.5447442108e+00 1.3092979713e-09
3.5589231876e+00 1.4315049922e-09
3.5731588804e+00 1.5046590432e-09
3.5874515159e+00 1.5778172405e-09
3.6018013220e+00 1.6143326016e-09
3.6162085273e+00 1.6865517300e-09
3.6306733614e+00 1.8371925441e-09
3.6451960548e+00 1.9825586988e-09
3.6597768390e+00 2.2447585021e-09
3.6744159464e+00 2.2716367681e-09
3.6891136102e+00 2.4673950504e-09
3.7038700646e+00 2.5146766981e-09
3.7186855449e+00 2.6434725416e-09
3.7335602871e+00 2.6451833525e-09
3.7484945282e+00 2.7555625176e-09
3.7634885063e+00 2.9139322111e-09
3.7785424604e+00 2.6669596913e-09
3.7936566302e+00 2.9491386835e-09
3.8088312567e+00 3.1459666114e-09
3.8240665817e+00 3.3138215902e-09
3.8393628481e+00 3.2696311065e-09
3.8547202995e+00 3.1572431192e-09
3.8701391807e+00 3.2713375267e-09
3.8856197374e+00 3.3631413204e-09
3.9011622163e+00 3.5027439686e-09
3.9167668652e+00 3.4979132033e-09
3.9324339327e+00 3.5809246362e-09
3.9481636684e+00 3.6430602218e-09
3.9639563231e+00 3.7124718742e-09
3.9798121484e+00 3.6277040188e-09
3.9957313969e+00 3.7680436933e-09
4.0117143225e+00 3.7596755591e-09
4.0277611798e+00 3.8366001530e-09
4.0438722245e+00 3.8109531292e-09
4.0600477134e+00 4.0391844541e-09
4.0762879043e+00 3.9693597408e-09
4.0925930559e+00 4.1950525300e-09
4.1089634281e+00 4.1402413290e-09
4.1253992818e+00 4.2661345843e-09
4.1419008790e+00 4.3474562676e-09
4.1584684825e+00 4.1887328795e-09
4.1751023564e+00 4.3885951430e-09
4.1918027658e+00 4.1299491755e-09
4.2085699769e+00 4.0792691071e-09
4.2254042568e+00 3.9421372303e-09
4.2423058738e+00 4.2347187777e-09
4.2592750973e+00 4.3104042071e-09
4.2763121977e+00 4.1961872527e-09
4.2934174465e+00 4.5555134355e-09
4.3105911163e+00 4.2539388469e-09
4.3278334808e+00 4.7664861544e-09
4.3451448147e+00 4.3042716011e-09
4.3625253940e+00 4.6822675613e-09
4.3799754955e+00 4.6190908307e-09
4.3974953975e+00 4.2876287660e-09
4.4150853791e+00 4.8373485235e-09
4.4327457206e+00 4.0446818441e-09
4.4504767035e+00 4.5527492708e-09
4.4682786103e+00 4.3322784107e-09
4.4861517248e+00 4.2918273064e-09
4.5040963317e+00 4.3655823676e-09
4.5221127170e+00 4.1393730973e-09
4.5402011679e+00 4.0713380795e-09
4.5583619725e+00 4.3380653782e-09
4.5765954204e+00 4.1791013928e-09
4.5949018021e+00 4.2789372760e-09
4.6132814093e+00 4.3539206222e-09
4.6317345349e+00 3.9243326365e-09
4.6502614731e+00 3.9588838986e-09
4.6688625190e+00 4.2351039581e-09
4.6875379690e+00 4.2088533555e-09
4.7062881209e+00 3.9619234318e-09
4.7251132734e+00 3.7878641071e-09
4.7440137265e+00 4.0757410940e-09
4.7629897814e+00 3.7977400438e-09
4.7820417405e+00 3.2281299969e-09
4.8011699075e+00 3.8049878935e-09
